output,source_index,source_file,note
assets/characters/faces/FACE_PLAYER_MALE_02.png,crop,assets/characters/player/CHR_PLAYER_MALE_02.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_MALE_03.png,crop,assets/characters/player/CHR_PLAYER_MALE_03.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_MALE_04.png,crop,assets/characters/player/CHR_PLAYER_MALE_04.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_FEMALE_01.png,crop,assets/characters/player/CHR_PLAYER_FEMALE_01.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_FEMALE_02.png,crop,assets/characters/player/CHR_PLAYER_FEMALE_02.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_FEMALE_03.png,crop,assets/characters/player/CHR_PLAYER_FEMALE_03.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_FEMALE_04.png,crop,assets/characters/player/CHR_PLAYER_FEMALE_04.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_ANDRO_01.png,crop,assets/characters/player/CHR_PLAYER_ANDRO_01.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_ANDRO_02.png,crop,assets/characters/player/CHR_PLAYER_ANDRO_02.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_ANDRO_03.png,crop,assets/characters/player/CHR_PLAYER_ANDRO_03.png,face recortada automaticamente do avatar original
assets/characters/faces/FACE_PLAYER_ANDRO_04.png,crop,assets/characters/player/CHR_PLAYER_ANDRO_04.png,face recortada automaticamente do avatar original
